id,date,empl_id,name,project,process,sub_process,activity,sub_activity,task,action,start_time,end_time,total_time,volume,act_id,comment,added_by
9,13-Mar-18,iDLGelE+x5b0qB63iEpffA==,u+hHHgsk7vXxk+pEpY5n/Q==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Issue Trak/CRT,Issue Track,Resolved (Analysis + Correction/Enhancement),,13-03-2018 14:30:19,13-03-2018 14:33:00,2.67,,,,
10,13-Mar-18,WzzOoD5iW8LNLWYNV7IiUA==,ckmT4R9WVWB26monU3MHNw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,Coding,Epics,Primary - Dual Coding,,13-Mar-18 2:42:19 PM,13-Mar-18 2:44:51 PM,2.53,,,,
11,13-Mar-18,iDLGelE+x5b0qB63iEpffA==,u+hHHgsk7vXxk+pEpY5n/Q==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Validation Activities,Cross coding validation,Cross coding validation / Eforte Validation,,13-03-2018 14:33:00,13-03-2018 14:52:31,19.5,,,,
7,13-Mar-18,eztE1a3SRDTFBFR9G9Y3yw==,vq20lzyItQbwsYRbon9inw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,3/13/2018 1:29:28 PM,3/13/2018 1:31:35 PM,3,,,,
12,13-Mar-18,iDLGelE+x5b0qB63iEpffA==,u+hHHgsk7vXxk+pEpY5n/Q==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Validation Activities,Cross coding validation,Cross coding validation / Eforte Validation,,13-03-2018 14:52:31,13-03-2018 15:55:59,63.47,,,,
13,13-Mar-18,iDLGelE+x5b0qB63iEpffA==,u+hHHgsk7vXxk+pEpY5n/Q==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Other BAU activities,Other Activities,Surgery/extraction/upload etc.,,13-03-2018 15:55:59,13-03-2018 16:09:26,13.43,,,,
14,13-Mar-18,iDLGelE+x5b0qB63iEpffA==,u+hHHgsk7vXxk+pEpY5n/Q==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Validation Activities,Coding Validation,Internal validation,,13-03-2018 16:09:26,13-03-2018 17:53:42,58.45,,,,
15,13-Mar-18,eztE1a3SRDTFBFR9G9Y3yw==,vq20lzyItQbwsYRbon9inw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,Activity,Sub Activity,Task,,3/13/2018 5:02:03 PM,3/13/2018 6:00:37 PM,58.57,,,,
16,13-Mar-18,eztE1a3SRDTFBFR9G9Y3yw==,vq20lzyItQbwsYRbon9inw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,Cross Coding,Cross coding - Other Retailers,Cross Coding to Standard Item,,3/13/2018 6:03:24 PM,3/13/2018 6:03:36 PM,0.18,,,,
17,13-Mar-18,eztE1a3SRDTFBFR9G9Y3yw==,vq20lzyItQbwsYRbon9inw==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,yuOtuXbHx/x4DiseZsOR4g==,Cross Coding,Cross coding - Other Retailers,Cross Coding to Consolidated/PGI/Uncodable,,3/13/2018 6:03:36 PM,3/13/2018 6:06:14 PM,2.63,,,,
18,13-Mar-18,BMXraUrJlWC7VDm9TGmr1g==,CGPRAHn2jx3zh/vsrZdSHA==,+vCD8kqWx0rqO+6MvfNSZA==,snevsHZq1Qk/qasKhwTrjQ==,oFX4W+50tGaQWTDJ8JXpEw==,Cross Coding,Cross coding - Hard discounters treatment/support activities,(Aldi + Lidl) New Reference treatment,,3/13/2018 2:35:30 PM,3/13/2018 6:09:19 PM,165.39,,,,
