id,seq,project,process,sub_process,bucket,activity,sub_activity,task,upt,ex_lock,volume,aid,cmnt,readme
1,,Market Research,Reference Data,UK,DIRECT,Coding,BB,Banded pack (Parent+Child),,0,0,0,0,
2,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Banded pack (Parent+Child),,1,0,0,0,
3,,Market Research,Reference Data,UK,DIRECT,Coding,BB,Primary - Dual Coding,,0,0,0,0,
4,,Market Research,Reference Data,Germany,DIRECT,Coding,BB,Primary - Dual Coding,,0,0,0,0,
5,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Primary - Dual Coding,,0,0,0,0,
6,,Market Research,Reference Data,Germany,DIRECT,Coding,BB,Primary - Euro,,0,0,0,0,
7,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Primary - Euro,,0,0,0,0,
8,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Primary - Local,,0,0,0,0,
9,,Market Research,Reference Data,UK,DIRECT,Coding,BB,Secondary,,0,0,0,0,
10,,Market Research,Reference Data,Germany,DIRECT,Coding,BB,Secondary,,0,0,0,0,
11,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Secondary,,0,0,0,0,
12,,Market Research,Reference Data,UK,DIRECT,Coding,BB,Touched Item,,0,0,0,0,
13,,Market Research,Reference Data,Germany,DIRECT,Coding,BB,Touched Items,,0,0,0,0,
14,,Market Research,Reference Data,Netherlands,DIRECT,Coding,BB,Touched Items,,0,0,0,0,
15,,Market Research,Reference Data,Italy,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
16,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
17,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
19,,Market Research,Reference Data,Germany,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
20,,Market Research,Reference Data,Portugal,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
21,,Market Research,Reference Data,Austria,DIRECT,Coding,Epics,Banded pack (Parent+Child),,0,0,0,0,
22,,Market Research,Reference Data,Italy,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
23,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
24,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
25,,Market Research,Reference Data,Netherlands,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
26,,Market Research,Reference Data,Germany,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
27,,Market Research,Reference Data,Portugal,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
28,,Market Research,Reference Data,Austria,DIRECT,Coding,Epics,Primary - Dual Coding,,0,0,0,0,
29,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Primary - Euro,,0,0,0,0,
30,,Market Research,Reference Data,Netherlands,DIRECT,Coding,Epics,Primary - Euro,,0,0,0,0,
31,,Market Research,Reference Data,Austria,DIRECT,Coding,Epics,Primary - Euro,,0,0,0,0,
32,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Primary - Hard Discounter retailer coding,,0,0,0,0,
33,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Primary - Local,,0,0,0,0,
34,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Primary - Local,,0,0,0,0,
35,,Market Research,Reference Data,Netherlands,DIRECT,Coding,Epics,Primary - Local,,0,0,0,0,
36,,Market Research,Reference Data,Portugal,DIRECT,Coding,Epics,Primary - Local,,0,0,0,0,
37,,Market Research,Reference Data,Austria,DIRECT,Coding,Epics,Primary - Local,,0,0,0,0,
38,,Market Research,Reference Data,Italy,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
39,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
40,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
41,,Market Research,Reference Data,Netherlands,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
42,,Market Research,Reference Data,Germany,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
43,,Market Research,Reference Data,Portugal,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
44,,Market Research,Reference Data,Austria,DIRECT,Coding,Epics,Secondary,,0,0,0,0,
45,,Market Research,Reference Data,Italy,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
46,,Market Research,Reference Data,France,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
47,,Market Research,Reference Data,Belgium,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
48,,Market Research,Reference Data,Netherlands,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
49,,Market Research,Reference Data,Germany,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
50,,Market Research,Reference Data,Portugal,DIRECT,Coding,Epics,Touched Items,,0,0,0,0,
51,,Market Research,Reference Data,Italy,DIRECT,Coding,HHT,Banded pack,,0,0,0,0,
52,,Market Research,Reference Data,Italy,DIRECT,Coding,HHT,Primary - Dual Coding,,0,0,0,0,
53,,Market Research,Reference Data,Italy,DIRECT,Coding,HHT,Primary - Local,,0,0,0,0,
54,,Market Research,Reference Data,Italy,DIRECT,Coding,HHT,Secondary,,0,0,0,0,
55,,Market Research,Reference Data,Italy,DIRECT,Coding,HHT,Touched Items,,0,0,0,0,
56,,Market Research,Reference Data,UK,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
57,,Market Research,Reference Data,Italy,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
58,,Market Research,Reference Data,France,DIRECT,Coding,New Product Launch/New Buisness/CRT/Issue trak/Clinet Supply/Auftrag/cetalog/Rechar/eFeature Cant find Coding,Banded pack,,0,0,0,0,
